{'minPoints': 6, 'filter_size': 24, 'step': 1, 'outliers': 1, 'eps': 12} 0.119850 0.063745 1.000000
{'minPoints': 6, 'filter_size': 24, 'step': 2, 'outliers': 1, 'eps': 12} 0.113475 0.060150 1.000000
{'minPoints': 6, 'filter_size': 24, 'step': 3, 'outliers': 1, 'eps': 12} 0.109215 0.057762 1.000000
{'minPoints': 6, 'filter_size': 24, 'step': 1, 'outliers': 2, 'eps': 12} 0.176471 0.100000 0.750000
{'minPoints': 6, 'filter_size': 24, 'step': 2, 'outliers': 2, 'eps': 12} 0.188406 0.106557 0.812500
{'minPoints': 6, 'filter_size': 24, 'step': 3, 'outliers': 2, 'eps': 12} 0.172662 0.097561 0.750000
{'minPoints': 6, 'filter_size': 24, 'step': 1, 'outliers': 3, 'eps': 12} 0.218750 0.145833 0.437500
{'minPoints': 6, 'filter_size': 24, 'step': 2, 'outliers': 3, 'eps': 12} 0.212121 0.140000 0.437500
{'minPoints': 6, 'filter_size': 24, 'step': 3, 'outliers': 3, 'eps': 12} 0.205882 0.134615 0.437500
{'minPoints': 8, 'filter_size': 24, 'step': 1, 'outliers': 1, 'eps': 12} 0.133891 0.071749 1.000000
{'minPoints': 8, 'filter_size': 24, 'step': 2, 'outliers': 1, 'eps': 12} 0.137931 0.074074 1.000000
{'minPoints': 8, 'filter_size': 24, 'step': 3, 'outliers': 1, 'eps': 12} 0.130612 0.069869 1.000000
{'minPoints': 8, 'filter_size': 24, 'step': 1, 'outliers': 2, 'eps': 12} 0.230769 0.136364 0.750000
{'minPoints': 8, 'filter_size': 24, 'step': 2, 'outliers': 2, 'eps': 12} 0.200000 0.117021 0.687500
{'minPoints': 8, 'filter_size': 24, 'step': 3, 'outliers': 2, 'eps': 12} 0.216216 0.126316 0.750000
{'minPoints': 8, 'filter_size': 24, 'step': 1, 'outliers': 3, 'eps': 12} 0.264151 0.189189 0.437500
{'minPoints': 8, 'filter_size': 24, 'step': 2, 'outliers': 3, 'eps': 12} 0.241379 0.166667 0.437500
{'minPoints': 8, 'filter_size': 24, 'step': 3, 'outliers': 3, 'eps': 12} 0.237288 0.162791 0.437500
{'minPoints': 10, 'filter_size': 24, 'step': 1, 'outliers': 1, 'eps': 12} 0.161616 0.087912 1.000000
{'minPoints': 10, 'filter_size': 24, 'step': 2, 'outliers': 1, 'eps': 12} 0.152381 0.082474 1.000000
{'minPoints': 10, 'filter_size': 24, 'step': 3, 'outliers': 1, 'eps': 12} 0.150235 0.081218 1.000000
{'minPoints': 10, 'filter_size': 24, 'step': 1, 'outliers': 2, 'eps': 12} 0.244444 0.148649 0.687500
{'minPoints': 10, 'filter_size': 24, 'step': 2, 'outliers': 2, 'eps': 12} 0.229885 0.140845 0.625000
{'minPoints': 10, 'filter_size': 24, 'step': 3, 'outliers': 2, 'eps': 12} 0.252874 0.154930 0.687500
{'minPoints': 10, 'filter_size': 24, 'step': 1, 'outliers': 3, 'eps': 12} 0.272727 0.214286 0.375000
{'minPoints': 10, 'filter_size': 24, 'step': 2, 'outliers': 3, 'eps': 12} 0.272727 0.214286 0.375000
{'minPoints': 10, 'filter_size': 24, 'step': 3, 'outliers': 3, 'eps': 12} 0.272727 0.214286 0.375000
{'minPoints': 12, 'filter_size': 24, 'step': 1, 'outliers': 1, 'eps': 12} 0.168421 0.091954 1.000000
{'minPoints': 12, 'filter_size': 24, 'step': 2, 'outliers': 1, 'eps': 12} 0.167539 0.091429 1.000000
{'minPoints': 12, 'filter_size': 24, 'step': 3, 'outliers': 1, 'eps': 12} 0.169312 0.092486 1.000000
{'minPoints': 12, 'filter_size': 24, 'step': 1, 'outliers': 2, 'eps': 12} 0.257143 0.166667 0.562500
{'minPoints': 12, 'filter_size': 24, 'step': 2, 'outliers': 2, 'eps': 12} 0.240000 0.152542 0.562500
{'minPoints': 12, 'filter_size': 24, 'step': 3, 'outliers': 2, 'eps': 12} 0.240000 0.152542 0.562500
{'minPoints': 12, 'filter_size': 24, 'step': 1, 'outliers': 3, 'eps': 12} 0.300000 0.250000 0.375000
{'minPoints': 12, 'filter_size': 24, 'step': 2, 'outliers': 3, 'eps': 12} 0.285714 0.230769 0.375000
{'minPoints': 12, 'filter_size': 24, 'step': 3, 'outliers': 3, 'eps': 12} 0.292683 0.240000 0.375000
{'minPoints': 14, 'filter_size': 24, 'step': 1, 'outliers': 1, 'eps': 12} 0.176796 0.096970 1.000000
{'minPoints': 14, 'filter_size': 24, 'step': 2, 'outliers': 1, 'eps': 12} 0.180791 0.099379 1.000000
{'minPoints': 14, 'filter_size': 24, 'step': 3, 'outliers': 1, 'eps': 12} 0.175824 0.096386 1.000000
{'minPoints': 14, 'filter_size': 24, 'step': 1, 'outliers': 2, 'eps': 12} 0.237288 0.162791 0.437500
{'minPoints': 14, 'filter_size': 24, 'step': 2, 'outliers': 2, 'eps': 12} 0.246154 0.163265 0.500000
{'minPoints': 14, 'filter_size': 24, 'step': 3, 'outliers': 2, 'eps': 12} 0.218750 0.145833 0.437500
{'minPoints': 14, 'filter_size': 24, 'step': 1, 'outliers': 3, 'eps': 12} 0.285714 0.263158 0.312500
{'minPoints': 14, 'filter_size': 24, 'step': 2, 'outliers': 3, 'eps': 12} 0.324324 0.285714 0.375000
{'minPoints': 14, 'filter_size': 24, 'step': 3, 'outliers': 3, 'eps': 12} 0.333333 0.300000 0.375000
{'minPoints': 16, 'filter_size': 24, 'step': 1, 'outliers': 1, 'eps': 12} 0.202532 0.112676 1.000000
{'minPoints': 16, 'filter_size': 24, 'step': 2, 'outliers': 1, 'eps': 12} 0.187500 0.104167 0.937500
{'minPoints': 16, 'filter_size': 24, 'step': 3, 'outliers': 1, 'eps': 12} 0.197531 0.109589 1.000000
{'minPoints': 16, 'filter_size': 24, 'step': 1, 'outliers': 2, 'eps': 12} 0.255319 0.193548 0.375000
{'minPoints': 16, 'filter_size': 24, 'step': 2, 'outliers': 2, 'eps': 12} 0.269231 0.194444 0.437500
{'minPoints': 16, 'filter_size': 24, 'step': 3, 'outliers': 2, 'eps': 12} 0.250000 0.187500 0.375000
{'minPoints': 16, 'filter_size': 24, 'step': 1, 'outliers': 3, 'eps': 12} 0.206897 0.230769 0.187500
{'minPoints': 16, 'filter_size': 24, 'step': 2, 'outliers': 3, 'eps': 12} 0.193548 0.200000 0.187500
{'minPoints': 16, 'filter_size': 24, 'step': 3, 'outliers': 3, 'eps': 12} 0.193548 0.200000 0.187500
{'minPoints': 18, 'filter_size': 24, 'step': 1, 'outliers': 1, 'eps': 12} 0.218978 0.123967 0.937500
{'minPoints': 18, 'filter_size': 24, 'step': 2, 'outliers': 1, 'eps': 12} 0.206897 0.116279 0.937500
{'minPoints': 18, 'filter_size': 24, 'step': 3, 'outliers': 1, 'eps': 12} 0.208333 0.117188 0.937500
{'minPoints': 18, 'filter_size': 24, 'step': 1, 'outliers': 2, 'eps': 12} 0.279070 0.222222 0.375000
{'minPoints': 18, 'filter_size': 24, 'step': 2, 'outliers': 2, 'eps': 12} 0.243902 0.200000 0.312500
{'minPoints': 18, 'filter_size': 24, 'step': 3, 'outliers': 2, 'eps': 12} 0.260870 0.200000 0.375000
{'minPoints': 18, 'filter_size': 24, 'step': 1, 'outliers': 3, 'eps': 12} 0.214286 0.250000 0.187500
{'minPoints': 18, 'filter_size': 24, 'step': 2, 'outliers': 3, 'eps': 12} 0.250000 0.375000 0.187500
{'minPoints': 18, 'filter_size': 24, 'step': 3, 'outliers': 3, 'eps': 12} 0.222222 0.272727 0.187500
{'minPoints': 20, 'filter_size': 24, 'step': 1, 'outliers': 1, 'eps': 12} 0.270270 0.157895 0.937500
{'minPoints': 20, 'filter_size': 24, 'step': 2, 'outliers': 1, 'eps': 12} 0.227642 0.130841 0.875000
{'minPoints': 20, 'filter_size': 24, 'step': 3, 'outliers': 1, 'eps': 12} 0.232558 0.132743 0.937500
