{'minPoints': 6, 'filter_size': 24, 'step': 1, 'outliers': 1, 'eps': 12} 0.416988 0.267327 0.947368
{'minPoints': 6, 'filter_size': 24, 'step': 2, 'outliers': 1, 'eps': 12} 0.432727 0.278689 0.967480
{'minPoints': 6, 'filter_size': 24, 'step': 3, 'outliers': 1, 'eps': 12} 0.413547 0.263039 0.966667
{'minPoints': 6, 'filter_size': 24, 'step': 1, 'outliers': 2, 'eps': 12} 0.593060 0.441315 0.903846
{'minPoints': 6, 'filter_size': 24, 'step': 2, 'outliers': 2, 'eps': 12} 0.598726 0.447619 0.903846
{'minPoints': 6, 'filter_size': 24, 'step': 3, 'outliers': 2, 'eps': 12} 0.600619 0.447005 0.915094
{'minPoints': 6, 'filter_size': 24, 'step': 1, 'outliers': 3, 'eps': 12} 0.659218 0.578431 0.766234
{'minPoints': 6, 'filter_size': 24, 'step': 2, 'outliers': 3, 'eps': 12} 0.639535 0.555556 0.753425
{'minPoints': 6, 'filter_size': 24, 'step': 3, 'outliers': 3, 'eps': 12} 0.631579 0.545455 0.750000
{'minPoints': 8, 'filter_size': 24, 'step': 1, 'outliers': 1, 'eps': 12} 0.474946 0.315029 0.964602
{'minPoints': 8, 'filter_size': 24, 'step': 2, 'outliers': 1, 'eps': 12} 0.457732 0.300000 0.965217
{'minPoints': 8, 'filter_size': 24, 'step': 3, 'outliers': 1, 'eps': 12} 0.440000 0.284238 0.973451
{'minPoints': 8, 'filter_size': 24, 'step': 1, 'outliers': 2, 'eps': 12} 0.622568 0.484848 0.869565
{'minPoints': 8, 'filter_size': 24, 'step': 2, 'outliers': 2, 'eps': 12} 0.608365 0.473373 0.851064
{'minPoints': 8, 'filter_size': 24, 'step': 3, 'outliers': 2, 'eps': 12} 0.611321 0.473684 0.861702
{'minPoints': 8, 'filter_size': 24, 'step': 1, 'outliers': 3, 'eps': 12} 0.653333 0.628205 0.680556
{'minPoints': 8, 'filter_size': 24, 'step': 2, 'outliers': 3, 'eps': 12} 0.622517 0.580247 0.671429
{'minPoints': 8, 'filter_size': 24, 'step': 3, 'outliers': 3, 'eps': 12} 0.620690 0.584416 0.661765
{'minPoints': 10, 'filter_size': 24, 'step': 1, 'outliers': 1, 'eps': 12} 0.490291 0.327922 0.971154
{'minPoints': 10, 'filter_size': 24, 'step': 2, 'outliers': 1, 'eps': 12} 0.497758 0.334337 0.973684
{'minPoints': 10, 'filter_size': 24, 'step': 3, 'outliers': 1, 'eps': 12} 0.475113 0.314371 0.972222
{'minPoints': 10, 'filter_size': 24, 'step': 1, 'outliers': 2, 'eps': 12} 0.635071 0.519380 0.817073
{'minPoints': 10, 'filter_size': 24, 'step': 2, 'outliers': 2, 'eps': 12} 0.631111 0.510791 0.825581
{'minPoints': 10, 'filter_size': 24, 'step': 3, 'outliers': 2, 'eps': 12} 0.633929 0.514493 0.825581
{'minPoints': 10, 'filter_size': 24, 'step': 1, 'outliers': 3, 'eps': 12} 0.641221 0.666667 0.617647
{'minPoints': 10, 'filter_size': 24, 'step': 2, 'outliers': 3, 'eps': 12} 0.625000 0.645161 0.606061
{'minPoints': 10, 'filter_size': 24, 'step': 3, 'outliers': 3, 'eps': 12} 0.630769 0.650794 0.611940
{'minPoints': 12, 'filter_size': 24, 'step': 1, 'outliers': 1, 'eps': 12} 0.514139 0.349650 0.970874
{'minPoints': 12, 'filter_size': 24, 'step': 2, 'outliers': 1, 'eps': 12} 0.516456 0.351724 0.971429
{'minPoints': 12, 'filter_size': 24, 'step': 3, 'outliers': 1, 'eps': 12} 0.512315 0.348993 0.962963
{'minPoints': 12, 'filter_size': 24, 'step': 1, 'outliers': 2, 'eps': 12} 0.655556 0.561905 0.786667
{'minPoints': 12, 'filter_size': 24, 'step': 2, 'outliers': 2, 'eps': 12} 0.641304 0.556604 0.756410
{'minPoints': 12, 'filter_size': 24, 'step': 3, 'outliers': 2, 'eps': 12} 0.639594 0.538462 0.787500
