#				Salinity #242, -7.7(0)
#Record	Time tag (Gmt)	AirSaturation(%)	Temperature(Deg.C)	Salinity(PSU)
1	2013-12-12T17:35:08Z	48.855	8.055	25.961
2	2013-12-12T18:05:08Z	48.776	8.105	26.027
3	2013-12-12T18:35:08Z	48.319	8.156	26.006
4	2013-12-12T19:05:08Z	48.822	8.194	26.068
5	2013-12-12T19:35:08Z	48.220	8.171	25.997
6	2013-12-12T20:05:08Z	47.577	8.169	25.955
7	2013-12-12T20:35:08Z	46.899	8.174	26.036
8	2013-12-12T21:05:08Z	43.932	8.154	26.187
9	2013-12-12T21:35:08Z	43.151	8.098	26.080
10	2013-12-12T22:05:08Z	44.338	8.060	26.151
11	2013-12-12T22:35:08Z	42.780	8.018	26.051
12	2013-12-12T23:05:08Z	43.129	8.054	25.995
13	2013-12-12T23:35:08Z	41.956	8.054	26.166
14	2013-12-13T00:05:08Z	42.780	8.068	26.021
15	2013-12-13T00:35:08Z	44.688	8.108	26.212
16	2013-12-13T01:05:08Z	44.468	8.115	25.941
17	2013-12-13T01:35:08Z	44.891	8.148	25.921
18	2013-12-13T02:05:08Z	44.425	8.158	25.977
19	2013-12-13T02:35:08Z	44.660	8.121	26.053
20	2013-12-13T03:05:08Z	43.521	7.933	25.972
21	2013-12-13T03:35:08Z	43.099	7.892	26.123
22	2013-12-13T04:05:08Z	41.532	7.949	26.031
23	2013-12-13T04:35:08Z	44.837	8.032	26.093
24	2013-12-13T05:05:08Z	44.363	8.021	25.860
25	2013-12-13T05:35:08Z	44.062	8.025	25.951
26	2013-12-13T06:05:08Z	44.478	8.040	26.010
27	2013-12-13T06:35:08Z	44.768	8.020	25.971
28	2013-12-13T07:05:08Z	46.310	8.084	25.935
29	2013-12-13T07:35:08Z	44.190	8.063	26.001
30	2013-12-13T08:05:08Z	43.122	8.027	26.043
31	2013-12-13T08:35:08Z	45.846	8.049	26.021
32	2013-12-13T09:05:08Z	47.657	8.113	25.917
33	2013-12-13T09:35:08Z	45.458	8.083	25.964
34	2013-12-13T10:05:08Z	46.326	8.038	25.945
35	2013-12-13T10:35:08Z	47.564	7.792	25.914
36	2013-12-13T11:05:08Z	48.941	7.694	25.896
37	2013-12-13T11:35:08Z	54.367	7.509	25.653
38	2013-12-13T12:05:08Z	57.599	7.494	25.693
39	2013-12-13T12:35:08Z	63.392	7.315	25.490
40	2013-12-13T13:05:08Z	65.366	7.208	25.542
41	2013-12-13T13:35:08Z	69.144	7.082	25.496
42	2013-12-13T14:05:08Z	70.476	7.010	25.562
43	2013-12-13T14:35:08Z	67.766	7.051	25.612
44	2013-12-13T15:05:08Z	65.653	7.080	25.602
45	2013-12-13T15:35:08Z	67.113	7.032	25.611
46	2013-12-13T16:05:08Z	66.052	7.082	25.641
47	2013-12-13T16:35:08Z	63.089	7.095	25.502
48	2013-12-13T17:05:08Z	65.158	7.013	25.630
49	2013-12-13T17:35:08Z	63.624	7.062	25.629
50	2013-12-13T18:05:08Z	65.419	6.983	25.572
51	2013-12-13T18:35:08Z	66.647	7.014	25.479
52	2013-12-13T19:05:08Z	63.701	7.158	25.599
53	2013-12-13T19:35:08Z	66.426	7.000	25.528
54	2013-12-13T20:05:08Z	65.009	6.994	25.600
55	2013-12-13T20:35:08Z	62.152	7.015	25.566
56	2013-12-13T21:05:08Z	62.938	7.087	25.504
57	2013-12-13T21:35:08Z	62.453	7.010	25.626
58	2013-12-13T22:05:08Z	67.724	6.916	25.593
59	2013-12-13T22:35:08Z	71.163	6.870	25.500
60	2013-12-13T23:05:08Z	71.251	6.868	25.647
61	2013-12-13T23:35:08Z	70.202	6.899	25.691
62	2013-12-14T00:05:08Z	68.879	6.981	25.652
63	2013-12-14T00:35:08Z	66.290	7.118	25.567
64	2013-12-14T01:05:08Z	67.182	7.080	25.484
65	2013-12-14T01:35:08Z	65.758	7.142	25.475
66	2013-12-14T02:05:08Z	67.738	7.055	25.427
67	2013-12-14T02:35:08Z	67.347	7.051	25.477
68	2013-12-14T03:05:08Z	65.905	6.956	25.647
69	2013-12-14T03:35:08Z	66.283	6.958	25.875
70	2013-12-14T04:05:08Z	60.453	7.033	25.730
71	2013-12-14T04:35:08Z	58.250	7.084	25.863
72	2013-12-14T05:05:08Z	59.419	7.092	25.663
73	2013-12-14T05:35:08Z	56.773	7.093	25.782
74	2013-12-14T06:05:08Z	58.276	7.084	25.756
75	2013-12-14T06:35:08Z	58.614	7.109	25.889
76	2013-12-14T07:05:08Z	59.154	7.107	25.740
77	2013-12-14T07:35:08Z	59.644	7.206	25.644
78	2013-12-14T08:05:08Z	60.496	7.210	25.696
79	2013-12-14T08:35:08Z	62.375	7.058	25.698
80	2013-12-14T09:05:08Z	61.440	7.040	25.634
81	2013-12-14T09:35:08Z	62.961	7.034	25.622
82	2013-12-14T10:05:08Z	57.277	7.347	25.758
83	2013-12-14T10:35:08Z	60.511	7.221	25.663
84	2013-12-14T11:05:08Z	59.533	7.269	25.610
85	2013-12-14T11:35:08Z	58.990	7.350	25.586
86	2013-12-14T12:05:08Z	62.538	7.237	25.571
87	2013-12-14T12:35:08Z	61.168	7.310	25.465
88	2013-12-14T13:05:08Z	61.571	7.296	25.559
89	2013-12-14T13:35:08Z	66.748	7.046	25.479
90	2013-12-14T14:05:08Z	66.838	6.981	25.497
91	2013-12-14T14:35:08Z	63.442	7.050	25.651
92	2013-12-14T15:05:08Z	60.139	7.094	25.752
93	2013-12-14T15:35:08Z	57.334	7.192	25.798
94	2013-12-14T16:05:08Z	53.913	7.323	25.880
